"Code.INSEE","RR_med","NBJRR1_med","NBJRR5_med","NBJRR10_med","Tmin_med","Tmax_med","Tens_vap_med","Force_vent_med","Insolation_med","Rayonnement_med"
"66182",27.8,4,2,1,10.2,19.3,12.1,3.4,4055,14416
"34210",38.65,5,2,1,9.7,20.6,11.4,3.55,4120,14757
"84089",75.5,8,6,3,7.4,19.9,10.7,2.3,NA,NA
"4144",74.75,6,4,3,7.8,19.3,12.75,1.4,NA,NA
"66168",44.55,5,2,1,9.55,20.9,11,3.5,4055,14416
"66224",27.8,4,2,1,10.2,19.3,12.1,3.4,4055,14416
"7098",85,8,4,3,6.3,15.1,9.6,2.6,3297,12155
"6070",66.1,6,3,2,5.8,12.4,7.9,3.4,NA,NA
"4204",74.75,6,4,3,5.75,23.65,7.75,1.6,NA,NA
"7121",79,10,5,2,2.1,10.5,8,4.2,3275,12558
"48198",67.05,8,4,2,6,15.9,8.5,3.3,NA,NA
"48015",81.05,8,4,3,6,15.9,9.7,1.5,NA,NA
"48061",65.95,7,4,2,5.6,14.35,8.8,4.2,NA,NA
"43246",55.35,8,3,2,4.15,17.25,10.4,3.4,NA,NA
"82131",60.7,8,4,2,14.1,25.4,12.6,2.4,3427,13114
"2305",58.85,10,4,1,6.6,15.9,10.5,2.6,2779,11926.5
"82187",69.4,9,4,2,7,19.4,11.1,2.3,3239.5,12941.5
"89021",64.45,10,5,2,7.25,15.9,10.4,2.4,NA,NA
"58107",83.6,12,6,2,6.6,16.2,9.1,2.9,2838,11024
"46072",53.8,8,3,1,7.6,17.6,10.6,2.3,3360,12556
"43156",65.8,9,4,2,1.9,9.2,7.3,4.2,3275,12558
"58270",67.25,10,5,2,6.6,15.6,10.5,2.4,2799,11108
"89044",63.1,10,4,2,6.9,16.2,10.4,2.4,NA,NA
"89419",57,9,4.5,2,7.45,16.45,10.6,2.1,2780,11271.5
"3155",52.6,9,4,1,6,16.7,10.5,2.5,3123,12324
"45315",52.5,9,3,1,6.6,17.65,10.5,2.1,3041,11535
"45098",42,7,2.5,2,6.4,15.7,10.2,4.1,2841,11259.5
"77186",57.45,10,4,1,5.6,16.7,10.35,2.2,2688,10990
"87064",88.65,12,6,3,7.5,15.7,9.8,2.5,2987.5,11836
"97408",47,6,3,1,14.8,23.9,18.9,1.1,2759,13726
"31581",54.1,9,4,2,4.6,12.4,12.5,2.3,3593,13187
"79246",67.9,9,4,2,8.7,18.4,11.4,2.9,3275,12665.5
"79154",64,10,5,2,7.4,17.8,12.6,3,3290,12257
"15250",98.8,12,6,3,5.5,14.8,8.95,2.1,3110,12107
"24485",66.8,11,5,2,7.7,17.5,11,2.4,3642,12836.5
"24294",67.5,11,4,2,7.3,17.8,12,1.2,3402.5,12764.5
"64067",84.4,10,5,3,8.8,20.4,11.8,2.1,3118.5,12813
"64223",122.8,11,7,4,5.9,14.3,8.5,4.1,2870,11907.5
"64559",102.6,8,5,2,9.6,21.4,12.05,1.5,2940,11601
"40296",79.1,11,5,3,10.75,20.35,11.7,2.7,3464,12950.5
"40319",80.2,10,5,2,6.95,20.3,11.9,2,3302,13251
"40006",75.3,10,5,2,7.9,19.6,11.9,2,3302,13251
"40060",75.15,10,5,2.5,6.75,18.45,12.1,2.2,2852.5,10829
"33029",39.7,7,3,1,6.95,17.2,11.8,2.1,3557,12713
"33202",80.95,11.5,5.5,2.5,6.85,20.15,11.8,2.2,2852.5,10829
"33233",53,9,4,2,7.4,18.6,11.4,1.3,3236,12598
"48098",103.9,8,5,3,4.6,12.9,8.5,6.4,NA,NA
"2B315",45.6,6,2,1,6.4,20,10.9,1.7,4232,15515
"30089",44.5,3,2,2,10.2,20.2,11.4,3.3,3442,6978
"34197",48.7,3,2,1,10.35,20.85,11,2.7,4299,14539.5
"26200",71,6,4,2,2.4,15.95,8.5,3.4,3895,13933
"2B242",46.8,6,3,1,9.45,20.75,12.8,2.7,4212,14636
"7315",132.9,7,4,3,7.55,16,9.5,1.7,3275,12558
"2B224",81.25,8,5.5,3,13.5,18.95,12.55,4.3,4212,14636
"4094",40.4,5,3,1,6.3,18.3,9.6,2.9,4308,14970
"4199",71,6,4,2,4.9,20,10.9,2.4,3895,13933
"2B145",41,5,2,1,9.45,20.75,12.8,2.7,4212,14636
"2B192",46.5,5,3,1,9.7,18.3,12.8,2.7,4212,14636
"66119",61.7,8,4,2,6.9,16.15,9.4,3.2,3137,12269.5
"5055",68,7,4,3,2.7,16.5,8.2,1.9,3210,12110
"30129",72.95,6,3,2,7,19.2,10.4,2.8,3865.5,13845
"30339",103.5,7,4,3,6.8,17.8,9.3,10.3,NA,NA
"2B275",54.9,7,3,2,9,17.05,10.9,1.7,4232,15515
"30017",88.1,7,4,3,5.9,16.6,9.55,3,NA,NA
"13081",34.25,4,2,1,9.6,20.5,11.4,4.7,4653,15455
"2B051",52.55,7,3,2,9,17.05,10.9,1.7,4232,15515
"7115",66.25,6,3,2,7,19.75,11.1,2.4,3968,13651
"13033",34.25,4,2,1,10.3,19.4,11.4,4.7,4653,15455
"4170",64.85,6,3,2,7.3,20,10.1,3,NA,NA
"4013",67.9,6,4,3,6.8,18.3,9.2,3.3,4529,14928
"66017",29.5,4,2,1,10.2,19.3,12.1,3.4,4055,14416
"66172",29.25,4,2,1,10.8,19.45,11.4,4.5,4099,14633.5
"66093",44.55,5,2,1,10.5,19.3,11,3.5,4099,14633.5
"66176",27.8,4,2,1,10.2,19.3,12.1,3.4,4055,14416
"66049",45.2,5,3,1,10,20.6,10.9,3.7,2808,11152
"66015",34.75,5,2,1,9.55,20.9,11.8,3.5,2808,11152
"2B063",61.6,8,4,2,9.45,20.75,10.9,1.7,4232,15515
"48178",57.5,5,3,2,12.7,24.2,9.2,3.4,3865.5,13845
"17240",68.75,10,5,2,7.3,17.9,11.8,2.8,3273.5,11612.5
"87150",73,10,5,2,6.3,17,10.5,2.4,3205,12263
"89368",62.35,10,4,2,5.7,15.6,10.6,2.2,2799,11108
"63006",89.7,11,6,3,2.95,11.9,8.3,3.3,3288,12611
"12155",77,9,5,2,4.8,15.3,9.55,3.9,3450,12407
"33436",80.95,11.5,5.5,2.5,7.3,19,11.8,2.1,3557,12713
"33376",74.75,10,5,3,8.25,19.4,12.1,3.1,3396,12877.5
"34040",59.7,6,3,2,10.3,19.6,10.5,3.2,4299,14539.5
"34092",38.2,5,2,1,10.2,20.5,11,3.9,3965,14346.5
"6163",65.15,6.5,4,2,7.6,19.1,9.1,1.5,NA,NA
"48075",72,8,4,2,1,6.5,8.2,2.7,3282,11861.5
"48168",60.25,8,4,2,7.85,20.2,8.2,3.3,3506.5,12843
"84079",55,6,3,2,4.15,16.3,8.5,2,3410,12960
"7187",94.15,7,4,3,8,14.9,9,5.6,3968,13651
"5077",52.95,7,4,2,-2.5,3.5,4,2.5,3419,13859
"2B213",48.3,6,3,1,10.7,18.4,10.9,1.7,4232,15515
"34206",26.55,4,2,1,9.5,19.5,11.1,3.1,NA,NA
"13007",117.25,5,4,3,7.3,21.1,14.2,7.8,NA,NA
"66174",30,5,2,1,8.8,19.5,10.95,2.6,2808,11152
"66148",30.95,4,2,1,12.3,17.95,12.3,8,4055,14416
"83124",61.75,6,3,2,7.1,19.75,10.1,1.9,NA,NA
"2B150",42.1,5,2,1,10.7,20.3,11.9,3.7,4352.5,15088.5
"30193",56.95,5,3,2,8.3,21.2,11.1,2.5,4324.5,14620
"2A006",37.6,5,3,2,10.9,21.5,12.9,3.2,4527,15479.5
"2B190",39.3,5,3,1,8.75,19,12.6,4.7,4352.5,15088.5
"66121",32.35,5,2,1,9.2,20.1,11.2,3.1,2808,11152
"66012",29.25,4,2,1,10.8,19.45,11.4,4.5,4099,14633.5
"34328",32.9,4,2,1,8.2,19.7,10.95,2.2,4120,14757
"34180",47.3,5,3,2,9.7,20.6,11.4,3.55,4299,14539.5
"2A209",57.05,6,3,2,11.2,19,11.8,1.5,4527,15479.5
"6073",66.55,6,4,2,-0.6,8.15,4.6,2,4156.5,14931
"2B235",39.3,5,3,1,8.75,19,12.6,4.7,4352.5,15088.5
"2B333",41.15,5,2,1,10.6,20.4,12.3,2.3,4212,14636
"66002",28.95,4,2,1,10.2,19.3,12.1,3.4,4055,14416
"2A200",117,9,5,3,8.4,16.5,9.4,2.3,4020,14625
"2B289",42.25,5.5,2.5,1,6.9,20.3,11.2,1.4,4052,14420
"2B343",41,5,2,1,10.5,19.5,12.8,2.7,4212,14636
"34144",65.8,7,3,2,7.9,18.4,10.5,3.2,NA,NA
"15081",120.7,9,7,5,10.8,22,7.6,4.4,3464,12519
"15045",74.7,10,5,2,4,12.6,8.4,3.2,3336,12135
"21582",58.5,9.5,4,2,6.4,16.3,10.2,2.5,3159.5,12751
"46040",96,7,6,3,5.8,18.8,10.7,2.8,3489,12601.5
"81243",74.4,9,5,2,7.4,18.6,11.1,1.7,3239.5,12941.5
"81325",71.6,9,4,2,8,17.6,12,2.1,3031,12325.5
"81073",49,8,3,2,8.75,18.8,11.5,3.6,3511.5,13241.5
"15106",103.35,11,6,3,4.5,12.9,8.6,4.7,4299,14771
"58102",52,9,4,1,7.1,17.25,11,2.4,2799,11108
"58304",59.8,9,4,2,5.5,16.9,10.5,2.3,2877,12180
"46079",75.5,9,5,2,7.1,17.35,10.7,2.8,3489,12601.5
"54244",41.4,8,3,1,4.4,16.2,10.1,2.8,2725,11344
"81027",91,10,5,3,9.5,17.15,12,2.1,3031,12325.5
"43157",47,7,3,1,6,16.5,8.45,2.6,3126,12069
"54156",64.5,10,4,2,5.6,15.7,10.1,2.3,3371,12129
"42021",40.4,6,3,1,6.3,17.7,10.7,0.7,3168,11986
"35211",52.4,10,4,1,7.6,16.9,11.5,2.8,2902,11585
"60182",55.6,10,4,1,6.8,16.2,10.5,3,2442,10241.5
"97606",72.4,8,4,2,22.8,31,28,1.3,4374,19303
"97603",72.4,8,4,2,23.9,30.2,28,1.3,4374,19303
"27209",63.15,11,4,2,10.2,20.9,10.9,2.4,2868,11377.5
"97423",54.05,6,3,2,10.6,18.9,17.3,1,2589.5,13427
"56233",61.5,9,4,2,8.6,16.6,12.6,1.4,2834,11673
"56054",61.5,9,4,2,12.2,18.65,13.8,3.5,2834,11673
"56132",64.4,11,4,2,7.8,16.1,11.1,3.6,2850,11380
"56126",63.5,10,4,2,8.3,16.4,11.6,2.5,3239,11946
"61413",43.1,9,3.5,1,5.5,15.65,10.3,1.4,3047,11259.5
"61117",56.05,10,4,1,6.35,15.1,10.4,3,2563,10618.5
"61475",63.45,11,4,2,7.25,15.2,10.5,4.2,3581.5,14848
"61435",58.8,11,4,1,6.2,14.9,10.3,3.3,2736.5,11785.5
"61230",60.3,10,4,1,7.75,19.35,10.6,2.1,2929,10926
"61346",64.25,12,5,2,7.75,16.25,10.75,2.6,2810,10670
"61397",56.05,10,4,1,6.35,15.1,10.4,3,2563,10618.5
"61490",43.1,9,3.5,1,6.5,15.8,10.5,3.2,3047,11259.5
"61040",56.25,11,3,1,5.9,15.8,10.4,3,2630,11696
"61329",63.1,10,4,2,7.2,16.1,12.7,4,3581.5,14848
"61145",64.65,11,5,1,7.8,20.9,11,3.3,2630,11696
"61407",69.35,11,5,2,7.1,15.2,11.55,3,2630,11696
"61026",60.3,10,4,2,6.7,16.2,10.6,4,3581.5,14848
"61263",56.05,10,4,1,6.7,16.2,10.4,3,2563,10618.5
"61206",57.9,10,4,1,6.2,15.2,10.3,3.3,2736.5,11785.5
"61020",55.35,10,4,1,9.2,21.9,12.75,3.05,3047,11259.5
"61092",49.9,10,4,1,6.2,14.9,10.3,3.3,2736.5,11785.5
"61460",63,11,4,2,7.1,14.95,11.15,2.2,3122,11491
"61447",69.35,11,5,2,6.1,15.15,10.4,3,2630,11696
"61037",62,10,4,2,7.2,16.1,12.7,4,3581.5,14848
"61061",62.9,11,5,2,6.2,16.2,10,2.1,2929,10926
"61418",77.7,12,5.5,2,6.2,15.2,10.5,4.2,3581.5,14848
"61429",82,13,7,1,6.2,15.2,10.3,3.3,2736.5,11785.5
"61440",53.95,10,4,1,6.2,14.9,10.3,3.3,2736.5,11785.5
"61067",72.9,12,5,2,7.1,14.6,10.6,4,3581.5,14848
"61461",70.85,11,5,2,6.8,15.1,11.15,2.2,3122,11491
"61240",57,11,4,1,7.35,17,10.3,1.4,3047,11259.5
"61024",81.4,12,5,2.5,7.1,15.7,10.4,3,2630,11696
"61486",87.45,13,6,3,6.9,14.3,10.4,3,2630,11696
"61158",70.55,10,5,2,6.8,15.2,11.1,3.05,2792,11825
"61050",77.7,12,5.5,2,7.75,19.35,10.6,2.1,2929,10926
"61248",59.7,11,4,2,6.7,15.95,11,3.3,2525,10864.5
"61309",63.1,10,4,2,6.8,15.55,10.6,2.1,2929,10926
"61421",70.7,11,5,2,7,15.5,11,3.3,2630,11696
"61375",52.5,10,4,1,5.8,14.7,12.75,3.05,3047,11259.5
"61081",56.2,10.5,4,1,6.6,15.4,10.9,2.2,3122,11491
"61457",54.9,9.5,4,1,6.2,14.9,10.3,3.3,2736.5,11785.5
"61445",56.7,10,4,2,6.1,15.15,10.4,3,2630,11696
"61193",89.7,14,6,3,6.2,14.9,10.3,3.3,2736.5,11785.5
"61234",56.05,10,4,1,6.35,15.1,10.4,3,2563,10618.5
"61002",57,11,4,1,5.5,15.65,10.3,1.4,3047,11259.5
"61244",63.5,11,4,2,7.1,14.6,10.5,4.2,3581.5,14848
"12225",49.5,5.5,2.5,1.5,6.4,14.6,9.2,4.9,3426,13265
"12291",54.2,8,3,2,6.4,14.6,9.2,4.9,3426,13265
"38545",59.7,8,4,2,7,19,6.5,1.5,3342,12498.5
"12003",89.55,10,5,3,6.6,17.5,10.7,2.3,3383.5,12351.5
"12037",68.5,9,5,2,6.2,14.3,10.4,2.5,3474,13343
"38527",93.4,9,6,3,-3.7,4.7,3.8,1.9,3938,14601
"65295",92.15,10,5,3,12.7,23.5,4.4,1.5,NA,NA
"79111",64,10,5,2,7.4,17.8,12.6,1.9,3032,11716
"79195",66.5,10,4,2,7.6,19.45,11,3,3155,12212
"79016",47.25,8,3,1,7.5,17.3,11.1,3.5,3078,12156
"47039",64,8,4,2,8.2,19.4,11.6,1.8,2918.5,11773
"24354",67.5,11,4,2,8,18.5,11.4,2.6,3402.5,12764.5
"24273",63.6,9,4,2,8.35,18.2,11.1,2.4,3398,12700
"24165",67.5,11,4,2,7.3,17.8,12,1.2,3402.5,12764.5
"40053",56.9,8,5,2,8.1,19.3,11.7,2.3,3171,12582
"40287",66.4,10,4,2,8.4,18,11.9,3.1,3534,13069
"40307",78.7,11,5,2,6.75,18.45,12.1,2.2,2852.5,10829
"40142",77.6,10,5,3,7.9,19.75,12,1.9,2949,12075
"40087",61.15,9,4,2,7.6,19.2,11.7,2.1,2918.5,11773
"40123",94.65,11,6,3,8.9,19.1,12.2,1.9,3102,12495
"40217",82.1,10.5,5,2,9.35,16.9,12.05,3.9,3541.5,13327.5
"64233",55.2,9,4.5,2,14.35,24.9,11.2,1.8,3290.5,12725.5
"64217",100.2,11,6,4,6.9,19.2,12.9,1.9,2665,11353
"33021",60.5,9,4,2,7.8,18.85,12.1,2,3192,12037
"33348",62,10,5,2,7.9,18.1,12.2,2.6,4574,18429
"33544",60.2,9,4,2,8.6,17.6,12.2,3.8,3514,13068
"33322",74.75,10,5,3,8.3,19.1,12.1,3.1,3396,12877.5
"41193",61.4,10,4,2,7.85,16.9,10.7,3.1,2696,12125
"86086",50.8,9,4,1,6.7,17.1,11,3.2,3154.5,11786
"2B210",41,5,2,1,9.45,20.75,12.8,2.7,4212,14636
"2B135",64.5,7,4,2,7.9,18.9,12.6,3.1,4020,14625
"2B007",102.5,8,5,3,2.45,8.1,6.2,4,NA,NA
"2B207",41,5,2,1,9.45,20.75,12.8,2.7,4212,14636
"34156",52.7,5,3,2,10.3,19.6,10.7,4.7,4299,14539.5
"34279",41.6,5,3,1.5,8.2,18.8,11.1,3.1,4299,14539.5
"5004",72.6,7,4,3,3.5,14.6,7.5,1.8,3877,15007
"5090",74.35,8,5,3,3.2,14.5,7.6,2.2,4638,15887
"7093",94.25,8,4,3,6.85,18.2,9.6,2.6,3297,12155
"2B223",42,6,3,1,9.1,18.1,10.9,2.6,4052,14420
"4019",31.25,4,2,1,0.6,15.4,7,1.3,4194,15022.5
"30325",63,6,3,2,8.2,19.4,9.7,1.6,NA,NA
"83044",64.7,6,4,2,5.7,16.1,9.1,3.3,NA,NA
"4018",65.25,6,4,2,6.5,16.75,9.4,2.5,NA,NA
"2A117",68.6,7,4,2,10.7,20.4,10,3.2,NA,NA
"2B046",40.2,4,2,1,13.5,18.95,12.55,4.3,4212,14636
"13044",38.15,4,2,1,8.3,19.3,10.8,3.7,NA,NA
"30041",47.95,5,3,2,8.3,19.1,10.75,1.7,4324.5,14620
"30145",53.1,5,3,2,8.35,18.6,11.1,3.1,4324.5,14620
"48145",86.6,11,6,3,1.9,8.4,7.3,7,3506.5,12843
"48049",60.25,8,4,2,7.85,20.2,9.2,3.2,3506.5,12843
"48040",67.05,8,4,2,3.3,12.4,8.5,3.3,NA,NA
"34118",73.4,7,3,2,8,19.8,10.9,2.2,4380,14835.5
"26146",66.5,6,3,2,8.4,19,10.9,3.3,4188,15087
"26295",61,8,3,2,6.65,17.7,11.5,1.2,3039,12156
"2B354",96.7,6,4,3,5.45,16.7,9.25,4.4,4232,15515
"2B029",63.55,4.5,2,2,10.65,17,12.3,2.3,4212,14636
"2B352",39.3,5,3,1,8.75,19,12.6,4.7,4352.5,15088.5
"30319",49.2,6,3,2,8.3,19.1,10.75,1.7,4150,14931.5
"66041",31.7,3,2,1,10.8,19.45,11.4,4.5,4099,14633.5
"34295",44,5,2,1,10.95,19.9,12,2.6,4690,15794
"7040",63.1,7,3,2,7.55,14.5,9.4,3.1,3090.5,12678
"48146",72,8,4,2,7.1,18.5,8.2,2.7,3282,11861.5
"4179",66,6,4,2,3,17.5,8.7,1.2,4490,16015
"34221",43.5,5,3,1,8.2,19.7,10.95,2.2,NA,NA
"34230",68.45,7,4,2,5.7,15.7,9.9,7.3,NA,NA
"34162",39.45,4,2,1,9.9,20.1,11.4,3,4120,14757
"66193",43.2,6,2,1,7.4,18.15,9.2,1.3,3137,12269.5
"7330",60.9,6,3,2,7.7,19.2,10.8,2.8,3968,13651
"7134",74.1,5,3,2,6.8,18.2,10.1,2.4,3968,13651
"83076",46.7,4,2,1,6.8,19.5,10.05,2,NA,NA
"34318",55.9,5,2,2,8,20.7,10.1,2.2,NA,NA
"4086",48.85,6,3,2,0.6,15.4,7,1.3,4194,15022.5
"4209",62.25,6.5,4,2,5.05,19.05,9.1,1.8,4433,13701
"48028",65.95,7,4,2,5.6,14.35,8.8,4.2,3282,11861.5
"34087",42.7,4,2,1,9.1,19.3,11.9,4.8,4104,14498
"34209",27.95,4,2,1,10.3,19.9,11.8,4,4120,14757
"6002",70.8,7,4,2,5,12.85,7.3,3,NA,NA
"2A099",117,9,5,3,8.4,16.5,9.4,2.3,4020,14625
"7085",66.5,7,4,2,7.55,14.5,9.4,3.1,3090.5,12678
"7129",66.5,7,4,2,7.55,14.5,9.4,3.1,3090.5,12678
"30295",51.1,5,3,2,8.3,19.1,10.75,1.7,4150,14931.5
"13019",38.2,4,2,1,6.8,19.4,10.8,2.4,4650,15336
"7161",94.55,8,4,3,7.2,16.4,9.7,1.7,3275,12558
"7028",61.25,6,3,2,10,19.8,10.5,2.4,NA,NA
"48050",65.95,7,4,2,5.6,14.35,8.8,4.2,3282,11861.5
"11095",41.35,6,3,1,9.9,19.4,11.7,4.9,3965,14346.5
"6104",53,5,3,2,6.9,13.4,8.7,3.8,NA,NA
"66046",51.3,7,3,2,9.7,19.4,10.8,4.6,3389,14179
"26367",60.5,7,4,2,8.6,20,10.5,2.3,4106,14618
"11132",37.5,5,2,1,10.3,19.6,11.8,5.6,3965,14346.5
"84091",41.5,4,2,1,9.85,20.1,11.1,4.8,4164,14547
"30337",51.1,5,3,2,8.35,18.6,11.1,3.1,4150,14931.5
"4090",67.2,7,4,2,4.8,16.8,8.1,1.4,NA,NA
"4061",74.35,8,4,3,0.5,13.7,6.5,1.1,NA,NA
"2A024",79.9,8,5,3,7.6,17.3,9.45,2.2,NA,NA
"7226",68.75,9,4,2,3.9,11.5,8.1,4.3,3206,12438
"7200",112.6,10,5,4,2.4,10.8,7.9,3.6,3275,12558
"50041",84.85,12,6,3,9.3,13.6,11.4,7.2,2246.5,9693.5
